year,country,gdp_per_capita,labor_productivity,pgf
1890,AUS,8650.49,11.28,4.2735
1891,AUS,9055.65,11.35,4.3317
1892,AUS,7753.44,9.4,3.5958
1893,AUS,7195.4,8.52,3.2783
1894,AUS,7307.34,8.45,3.2832
1895,AUS,6767.36,7.63,2.9937
1896,AUS,7150.91,7.88,3.1227
1897,AUS,6636.73,7.15,2.8525
1898,AUS,7551.33,7.97,3.2125
1899,AUS,7451.08,7.74,3.1295
1900,AUS,7788.27,7.96,3.2321
1901,AUS,7449.38,7.49,3.0586
1902,AUS,7418.06,7.44,3.0359
1903,AUS,7910.26,8.15,3.2506
1904,AUS,8334.27,8.43,3.3302
1905,AUS,8309.51,8.61,3.3373
1906,AUS,8746.95,9.06,3.482
1907,AUS,8958.56,9.1,3.4909
1908,AUS,9107.37,9.15,3.4558
1909,AUS,9665.26,9.67,3.6155
1910,AUS,10110.1,9.98,3.7097
1911,AUS,9904.3,10.0,3.666
1912,AUS,9894.01,9.77,3.6006
1913,AUS,10007.22,10.08,3.6561
1914,AUS,9754.84,9.66,3.4744
1915,AUS,9502.26,9.78,3.4204
1916,AUS,9466.75,9.86,3.4272
1917,AUS,9297.55,9.85,3.3984
1918,AUS,8929.69,9.64,3.3066
1919,AUS,9150.97,10.04,3.4489
1920,AUS,9248.01,10.1,3.4718
1921,AUS,9529.85,10.44,3.5522
1922,AUS,9826.5,10.63,3.6012
1923,AUS,10075.56,10.71,3.6014
1924,AUS,10512.96,11.2,3.7275
1925,AUS,10776.22,11.36,3.7597
1926,AUS,10814.01,11.49,3.7604
1927,AUS,10758.19,11.35,3.7003
1928,AUS,10579.62,11.4,3.6741
1929,AUS,10213.24,11.21,3.572
1930,AUS,9136.85,10.31,3.2407
1931,AUS,8448.53,10.6,3.2333
1932,AUS,8856.36,11.5,3.4956
1933,AUS,9397.09,11.68,3.6048
1934,AUS,9819.08,11.74,3.6693
1935,AUS,10319.22,11.98,3.7757
1936,AUS,10703.96,12.16,3.8435
1937,AUS,11149.91,12.53,3.9567
1938,AUS,11422.9,12.62,3.9882
1939,AUS,11343.79,12.63,3.9569
1940,AUS,11965.9,13.3,4.1571
1941,AUS,13173.12,14.47,4.5324
1942,AUS,14564.95,16.07,5.0361
1943,AUS,14947.98,17.01,5.3052
1944,AUS,14286.62,16.4,5.1398
1945,AUS,13422.81,15.41,4.8632
1946,AUS,12798.01,14.21,4.5541
1947,AUS,12932.81,13.82,4.5021
1948,AUS,13520.93,14.59,4.7526
1949,AUS,14043.59,15.01,4.9208
1950,AUS,14382.77,15.59,5.1243
1951,AUS,14568.62,16.14,5.2804
1952,AUS,14394.92,16.17,5.2529
1953,AUS,14564.57,16.57,5.3319
1954,AUS,15118.27,17.48,5.588
1955,AUS,15577.85,18.3,5.8087
1956,AUS,15734.87,18.8,5.9069
1957,AUS,15699.77,19.11,5.9134
1958,AUS,16117.46,20.04,6.0979
1959,AUS,16744.19,21.21,6.3648
1960,AUS,16779.74,21.28,6.3572
1961,AUS,16662.11,21.53,6.3613
1962,AUS,17271.14,22.38,6.5799
1963,AUS,18125.7,23.32,6.8299
1964,AUS,18836.41,23.9,6.9765
1965,AUS,18910.29,23.81,6.9035
1966,AUS,19648.8,24.52,7.0688
1967,AUS,20390.69,25.07,7.1793
1968,AUS,21445.65,26.26,7.4546
1969,AUS,22508.49,27.43,7.7212
1970,AUS,22952.35,27.52,7.7055
1971,AUS,22883.28,28.2,7.8047
1972,AUS,23113.34,28.83,7.8628
1973,AUS,23700.28,29.42,7.9561
1974,AUS,23638.99,28.95,7.7889
1975,AUS,24013.28,30.02,7.9607
1976,AUS,24627.57,30.52,8.0464
1977,AUS,24549.33,30.49,7.9664
1978,AUS,25279.31,31.77,8.2042
1979,AUS,25740.42,31.94,8.2103
1980,AUS,26231.94,32.29,8.262
1981,AUS,26893.61,33.23,8.4049
1982,AUS,25843.54,33.62,8.3118
1983,AUS,26662.68,34.55,8.5043
1984,AUS,27735.06,35.31,8.6874
1985,AUS,28453.58,35.22,8.684
1986,AUS,28762.6,35.24,8.6598
1987,AUS,29959.4,36.0,8.8512
1988,AUS,30615.4,35.89,8.8428
1989,AUS,31178.15,36.01,8.857
1990,AUS,30602.44,36.58,8.8475
1991,AUS,30344.37,37.42,8.9268
1992,AUS,31221.02,38.57,9.1637
1993,AUS,32176.35,38.66,9.2171
1994,AUS,33106.62,38.74,9.2646
1995,AUS,34002.7,39.91,9.4804
1996,AUS,34906.84,41.29,9.7371
1997,AUS,36124.36,42.69,10.0129
1998,AUS,37538.66,44.04,10.2781
1999,AUS,38578.7,44.41,10.3493
2000,AUS,38918.37,44.92,10.3796
2001,AUS,39956.27,46.48,10.6729
2002,AUS,40733.49,47.18,10.7883
2003,AUS,41965.65,48.27,10.9799
2004,AUS,42828.73,48.11,10.9291
2005,AUS,43470.16,48.29,10.9113
2006,AUS,44507.58,48.53,10.9305
2007,AUS,45262.24,49.08,10.9882
2008,AUS,45194.03,50.77,11.1591
2009,AUS,45248.98,50.35,11.0199
2010,AUS,45615.86,51.14,11.0814
2011,AUS,46741.93,51.74,11.1608
2012,AUS,47117.35,52.97,11.2729
2013,AUS,47507.89,53.88,11.3408
2014,AUS,47812.03,54.11,11.3125
2015,AUS,48415.73,55.46,11.486
2016,AUS,48753.22,55.3,11.4422
2017,AUS,49320.84,55.93,11.5397
2018,AUS,49623.69,55.95,11.5166
2019,AUS,48849.55,56.62,11.5194
2020,AUS,49305.15,57.69,11.6671
2021,AUS,50999.88,58.26,11.7908
2022,AUS,52129.28,57.56,11.7281
1890,AUT,4832.24,4.29,2.4251
1891,AUT,4966.75,4.45,2.4988
1892,AUT,5045.17,4.56,2.5427
1893,AUT,5038.27,4.59,2.5466
1894,AUT,5283.5,4.86,2.6766
1895,AUT,5378.59,4.99,2.7304
1896,AUT,5441.94,5.08,2.7638
1897,AUT,5460.69,5.18,2.7897
1898,AUT,5718.28,5.49,2.9265
1899,AUT,5773.81,5.6,2.9593
1900,AUT,5758.06,5.65,2.9571
1901,AUT,5884.63,5.76,3.0016
1902,AUT,5904.74,5.77,2.9929
1903,AUT,5905.94,5.76,2.9728
1904,AUT,5948.86,5.78,2.9746
1905,AUT,6242.47,6.05,3.0989
1906,AUT,6409.18,6.19,3.1596
1907,AUT,6761.58,6.52,3.3094
1908,AUT,6732.82,6.47,3.27
1909,AUT,6658.38,6.39,3.2079
1910,AUT,6690.34,6.41,3.1985
1911,AUT,6853.4,6.69,3.3025
1912,AUT,7137.76,7.12,3.4683
1913,AUT,7050.7,7.16,3.4424
1914,AUT,6310.38,6.55,3.106
1915,AUT,6317.43,6.7,3.2663
1916,AUT,5675.82,6.1,2.9941
1917,AUT,4949.59,5.37,2.6254
1918,AUT,4413.74,4.83,2.3524
1919,AUT,4660.85,4.95,2.4031
1920,AUT,4907.95,5.33,2.6447
1921,AUT,5395.35,5.81,2.8591
1922,AUT,5861.17,6.33,3.0615
1923,AUT,5783.39,6.28,2.9835
1924,AUT,6444.09,7.02,3.3389
1925,AUT,6859.67,7.51,3.4943
1926,AUT,6949.97,7.64,3.5336
1927,AUT,7142.55,7.88,3.6194
1928,AUT,7452.84,8.26,3.7689
1929,AUT,7538.47,8.39,3.7945
1930,AUT,7306.11,8.17,3.6556
1931,AUT,6695.6,7.51,3.3388
1932,AUT,5985.23,6.75,2.985
1933,AUT,5766.74,6.53,2.8891
1934,AUT,5801.94,8.8,3.5762
1935,AUT,5919.41,8.12,3.4034
1936,AUT,6095.25,7.64,3.2873
1937,AUT,6425.58,7.41,3.2655
1938,AUT,7249.95,7.75,3.4856
1939,AUT,8321.55,8.3,3.7833
1940,AUT,8040.11,8.16,3.6159
1941,AUT,8571.03,8.85,3.9244
1942,AUT,8094.2,8.5,3.7031
1943,AUT,8258.6,8.83,3.8646
1944,AUT,7739.59,8.42,3.6503
1945,AUT,3539.61,3.92,1.6782
1946,AUT,3958.21,4.47,1.9068
1947,AUT,4382.67,5.04,2.1252
1948,AUT,5570.0,6.53,2.7298
1949,AUT,6633.55,7.92,3.2766
1950,AUT,7463.06,9.08,3.7215
1951,AUT,7972.57,9.53,3.8977
1952,AUT,7984.83,9.77,3.9211
1953,AUT,8332.0,10.33,4.0889
1954,AUT,9171.73,11.07,4.3932
1955,AUT,10216.03,11.77,4.6859
1956,AUT,10838.06,12.14,4.7994
1957,AUT,11448.19,12.58,4.9319
1958,AUT,11838.69,12.96,5.0074
1959,AUT,12165.47,13.19,5.0384
1960,AUT,13155.25,14.06,5.3131
1961,AUT,13810.99,14.85,5.5042
1962,AUT,14093.0,15.41,5.5762
1963,AUT,14593.19,16.27,5.7516
1964,AUT,15399.43,17.42,6.0321
1965,AUT,15849.99,18.28,6.1857
1966,AUT,16628.59,19.6,6.4777
1967,AUT,17060.53,20.72,6.6711
1968,AUT,17767.73,22.12,6.9601
1969,AUT,18829.71,23.71,7.3258
1970,AUT,20063.82,26.17,7.8838
1971,AUT,20994.11,27.2,8.0788
1972,AUT,22170.3,28.77,8.3882
1973,AUT,23125.1,28.82,8.3375
1974,AUT,23995.98,31.14,8.7499
1975,AUT,23972.13,31.83,8.7208
1976,AUT,25112.42,33.12,8.9635
1977,AUT,26377.98,35.55,9.4077
1978,AUT,26343.71,34.71,9.0857
1979,AUT,27802.22,36.31,9.3862
1980,AUT,28283.61,37.89,9.5759
1981,AUT,28170.86,37.75,9.408
1982,AUT,28716.84,39.06,9.5622
1983,AUT,29618.44,40.42,9.7764
1984,AUT,29635.51,40.59,9.7091
1985,AUT,30361.75,41.54,9.8493
1986,AUT,31040.76,42.74,10.0158
1987,AUT,31442.09,43.07,10.012
1988,AUT,32432.45,44.02,10.1591
1989,AUT,33541.67,45.13,10.3401
1990,AUT,34733.6,46.15,10.5183
1991,AUT,35572.07,47.15,10.6612
1992,AUT,35919.28,47.93,10.7115
1993,AUT,35811.99,48.44,10.6792
1994,AUT,36531.34,49.62,10.8182
1995,AUT,37448.61,50.21,10.8702
1996,AUT,38276.77,50.26,10.8382
1997,AUT,39033.87,50.7,10.8558
1998,AUT,40387.5,52.62,11.1465
1999,AUT,41742.52,53.56,11.2901
2000,AUT,43047.99,54.83,11.4819
2001,AUT,43426.92,55.53,11.5121
2002,AUT,43926.6,56.59,11.6174
2003,AUT,44142.85,57.03,11.6249
2004,AUT,45066.01,58.15,11.7853
2005,AUT,45764.53,59.55,11.9724
2006,AUT,47100.91,61.13,12.2322
2007,AUT,48696.12,62.66,12.4982
2008,AUT,49250.83,62.67,12.4631
2009,AUT,47283.43,62.23,12.1746
2010,AUT,48039.27,63.17,12.3078
2011,AUT,49281.48,63.8,12.447
2012,AUT,49394.37,64.49,12.5023
2013,AUT,49110.2,64.9,12.4971
2014,AUT,49049.02,65.14,12.4916
2015,AUT,49055.22,66.07,12.5976
2016,AUT,49399.81,65.98,12.6029
2017,AUT,50198.1,66.8,12.7324
2018,AUT,51167.57,67.11,12.7966
2019,AUT,51710.34,67.05,12.7732
2020,AUT,48160.28,68.72,12.6588
2021,AUT,50159.81,68.56,12.7478
2022,AUT,52037.8,69.89,13.0309
1890,BEL,4607.05,3.39,1.636
1891,BEL,4545.76,3.36,1.6097
1892,BEL,4591.67,3.4,1.6186
1893,BEL,4592.75,3.42,1.6163
1894,BEL,4593.13,3.43,1.6068
1895,BEL,4606.64,3.45,1.6032
1896,BEL,4681.64,3.51,1.6231
1897,BEL,4726.81,3.55,1.6258
1898,BEL,4761.81,3.58,1.6277
1899,BEL,4812.65,3.63,1.6326
1900,BEL,4909.61,3.67,1.642
1901,BEL,4873.62,3.68,1.6275
1902,BEL,4866.08,3.72,1.6263
1903,BEL,4888.02,3.77,1.6356
1904,BEL,4932.96,3.85,1.6464
1905,BEL,4995.76,3.93,1.6628
1906,BEL,5029.22,4.0,1.668
1907,BEL,5051.7,4.05,1.6734
1908,BEL,5062.44,4.09,1.673
1909,BEL,5126.22,4.17,1.6854
1910,BEL,5293.61,4.31,1.7224
1911,BEL,5454.21,4.52,1.7772
1912,BEL,5518.27,4.7,1.8159
1913,BEL,5520.63,4.83,1.8328
1914,BEL,4044.6,3.73,1.3762
1915,BEL,3322.2,3.22,1.168
1916,BEL,3744.42,3.8,1.3687
1917,BEL,3166.2,3.36,1.1994
1918,BEL,3017.18,3.33,1.1798
1919,BEL,3775.55,4.37,1.5354
1920,BEL,5822.62,7.02,2.4203
1921,BEL,6237.11,7.22,2.4842
1922,BEL,6653.82,7.53,2.5902
1923,BEL,7076.32,7.82,2.6942
1924,BEL,7382.09,7.99,2.7573
1925,BEL,7387.56,8.04,2.7552
1926,BEL,7482.85,8.18,2.7854
1927,BEL,7485.01,8.21,2.7853
1928,BEL,8043.02,8.89,2.9997
1929,BEL,8288.78,9.22,3.0874
1930,BEL,8474.34,9.49,3.1344
1931,BEL,8217.54,9.46,3.0719
1932,BEL,7848.0,9.3,2.9778
1933,BEL,7796.45,9.29,2.958
1934,BEL,7652.38,9.16,2.8984
1935,BEL,8041.7,9.59,3.0338
1936,BEL,8284.15,9.7,3.0794
1937,BEL,8660.14,10.11,3.2094
1938,BEL,8540.8,10.07,3.1858
1939,BEL,8255.28,9.64,3.0545
1940,BEL,6864.41,7.87,2.5059
1941,BEL,5937.64,6.67,2.1452
1942,BEL,6114.52,6.76,2.1884
1943,BEL,4934.94,5.39,1.7597
1944,BEL,4931.67,5.52,1.8152
1945,BEL,5210.35,5.98,1.981
1946,BEL,8091.7,9.51,3.1589
1947,BEL,8965.21,10.47,3.4772
1948,BEL,9377.3,11.07,3.6498
1949,BEL,9662.97,11.65,3.7903
1950,BEL,10028.36,11.96,3.8755
1951,BEL,10584.69,12.7,4.0699
1952,BEL,10545.94,12.74,4.0579
1953,BEL,10952.06,13.32,4.2208
1954,BEL,11376.37,13.91,4.382
1955,BEL,11779.4,14.5,4.507
1956,BEL,12132.9,15.05,4.6412
1957,BEL,12355.37,15.35,4.7047
1958,BEL,12056.78,15.3,4.6355
1959,BEL,12307.22,15.92,4.7726
1960,BEL,12844.61,16.32,4.8894
1961,BEL,13415.45,17.03,5.0639
1962,BEL,14028.34,17.72,5.2266
1963,BEL,14485.38,18.41,5.3745
1964,BEL,15268.35,19.44,5.6332
1965,BEL,15571.62,20.06,5.7365
1966,BEL,15769.77,20.5,5.7765
1967,BEL,16072.09,21.23,5.8833
1968,BEL,16566.89,22.12,6.0389
1969,BEL,17565.01,23.23,6.2955
1970,BEL,18727.49,25.48,6.7741
1971,BEL,19360.02,26.4,6.938
1972,BEL,20301.96,28.24,7.3099
1973,BEL,21480.76,30.15,7.7146
1974,BEL,22314.13,31.44,7.9511
1975,BEL,21957.34,31.64,7.8543
1976,BEL,23160.7,33.56,8.2302
1977,BEL,23279.6,34.4,8.2999
1978,BEL,23921.7,35.69,8.5019
1979,BEL,24464.3,36.53,8.6149
1980,BEL,25534.22,38.67,9.0035
1981,BEL,25444.82,39.83,9.1013
1982,BEL,25575.45,40.94,9.2518
1983,BEL,25642.21,41.46,9.3019
1984,BEL,26271.98,41.9,9.4049
1985,BEL,26700.52,42.24,9.4659
1986,BEL,27181.69,43.24,9.6349
1987,BEL,27777.69,44.32,9.8233
1988,BEL,28989.82,45.86,10.1486
1989,BEL,29886.89,46.98,10.3521
1990,BEL,30737.98,47.53,10.4408
1991,BEL,31182.55,49.35,10.6726
1992,BEL,31530.65,50.89,10.8679
1993,BEL,31106.62,52.16,10.9413
1994,BEL,32015.2,54.07,11.2525
1995,BEL,32710.77,54.3,11.2941
1996,BEL,33077.77,54.98,11.3642
1997,BEL,34251.69,56.43,11.6333
1998,BEL,34848.34,56.83,11.6807
1999,BEL,36001.77,58.01,11.8955
2000,BEL,37248.78,58.47,12.0114
2001,BEL,37526.58,58.6,11.9851
2002,BEL,37997.21,59.0,12.0224
2003,BEL,38232.51,59.5,12.0652
2004,BEL,39426.88,61.42,12.405
2005,BEL,40118.98,62.36,12.5456
2006,BEL,40873.82,62.68,12.6011
2007,BEL,42065.64,63.84,12.8175
2008,BEL,41922.24,63.45,12.6843
2009,BEL,40747.9,63.04,12.4592
2010,BEL,41530.36,64.0,12.6301
2011,BEL,41690.77,63.56,12.5694
2012,BEL,41738.04,63.87,12.5695
2013,BEL,41734.33,64.43,12.5946
2014,BEL,42204.02,65.35,12.7212
2015,BEL,42817.3,66.36,12.8681
2016,BEL,43141.54,66.42,12.8524
2017,BEL,43670.68,66.29,12.8189
2018,BEL,44251.38,66.43,12.8304
2019,BEL,45007.95,66.98,12.9133
2020,BEL,42391.42,69.09,12.8962
2021,BEL,44869.55,68.33,12.9662
2022,BEL,45926.69,69.14,13.126
1890,CAN,4435.37,4.19,2.1152
1891,CAN,4491.97,3.86,1.9953
1892,CAN,4421.31,3.79,1.9492
1893,CAN,4352.05,3.72,1.9076
1894,CAN,4513.85,3.85,1.9682
1895,CAN,4421.54,3.76,1.9211
1896,CAN,4267.72,3.62,1.8468
1897,CAN,4683.65,3.96,2.022
1898,CAN,4817.81,4.07,2.0721
1899,CAN,5213.46,4.4,2.2266
1900,CAN,5429.14,4.59,2.307
1901,CAN,5775.09,4.94,2.457
1902,CAN,6211.75,5.21,2.5817
1903,CAN,6216.79,5.16,2.5443
1904,CAN,6115.97,5.04,2.4656
1905,CAN,6642.33,5.44,2.6343
1906,CAN,7172.68,5.79,2.7721
1907,CAN,7226.1,5.93,2.8035
1908,CAN,6661.43,5.47,2.5466
1909,CAN,7179.0,5.88,2.6972
1910,CAN,7582.12,6.21,2.8037
1911,CAN,7855.84,6.46,2.8541
1912,CAN,8162.79,6.8,2.9257
1913,CAN,8292.65,7.06,2.9466
1914,CAN,7506.64,6.66,2.6903
1915,CAN,7893.79,7.16,2.8352
1916,CAN,8664.41,7.98,3.118
1917,CAN,8952.47,8.4,3.2472
1918,CAN,8281.14,7.96,3.0431
1919,CAN,7495.56,7.45,2.8259
1920,CAN,7201.16,7.47,2.8049
1921,CAN,6260.39,6.56,2.4626
1922,CAN,7073.73,7.37,2.7712
1923,CAN,7414.65,7.69,2.8906
1924,CAN,7416.63,7.65,2.8693
1925,CAN,8094.06,8.3,3.1127
1926,CAN,8386.43,8.56,3.2084
1927,CAN,9039.03,9.17,3.4348
1928,CAN,9644.35,9.71,3.6318
1929,CAN,9446.41,9.45,3.5146
1930,CAN,8971.16,9.01,3.3212
1931,CAN,7466.37,7.54,2.7645
1932,CAN,6846.79,7.0,2.5525
1933,CAN,6285.37,6.41,2.3535
1934,CAN,6883.3,6.95,2.5759
1935,CAN,7367.41,7.45,2.774
1936,CAN,7691.11,7.73,2.8983
1937,CAN,8342.34,8.34,3.1397
1938,CAN,8477.54,8.66,3.2438
1939,CAN,8891.95,9.0,3.3888
1940,CAN,10011.09,9.82,3.7395
1941,CAN,11283.9,11.03,4.2072
1942,CAN,13116.34,12.51,4.8036
1943,CAN,13544.11,12.45,4.8333
1944,CAN,13879.42,12.99,5.0194
1945,CAN,13302.04,13.21,5.0122
1946,CAN,12925.88,13.79,5.1178
1947,CAN,13218.6,14.67,5.3628
1948,CAN,13175.92,14.76,5.3535
1949,CAN,13173.6,14.88,5.3402
1950,CAN,13597.67,15.6,5.5519
1951,CAN,14048.99,16.18,5.6945
1952,CAN,14607.6,17.32,6.0124
1953,CAN,14889.62,18.04,6.1743
1954,CAN,14358.43,18.13,6.0682
1955,CAN,15294.28,19.75,6.503
1956,CAN,16134.77,20.62,6.7269
1957,CAN,16050.47,20.87,6.6903
1958,CAN,15914.84,21.49,6.7163
1959,CAN,16180.07,21.77,6.7187
1960,CAN,16322.3,22.23,6.7591
1961,CAN,16471.04,22.81,6.8424
1962,CAN,17368.43,23.85,7.1156
1963,CAN,17950.99,24.73,7.312
1964,CAN,18788.15,25.54,7.5244
1965,CAN,19616.72,26.37,7.7217
1966,CAN,20556.2,26.88,7.8516
1967,CAN,20808.5,27.03,7.8184
1968,CAN,21500.92,28.35,8.0744
1969,CAN,22285.24,29.11,8.2253
1970,CAN,22617.31,29.9,8.3324
1971,CAN,23224.35,30.65,8.4633
1972,CAN,24223.33,31.72,8.6856
1973,CAN,25539.09,32.44,8.8731
1974,CAN,26030.69,32.46,8.8351
1975,CAN,26050.0,32.86,8.8209
1976,CAN,27223.61,34.8,9.2065
1977,CAN,27858.0,35.8,9.349
1978,CAN,28612.45,36.08,9.3696
1979,CAN,29386.09,35.73,9.2804
1980,CAN,29641.05,35.63,9.1925
1981,CAN,30284.83,36.11,9.2409
1982,CAN,28972.88,36.61,9.0816
1983,CAN,29434.06,37.46,9.1784
1984,CAN,30880.26,38.48,9.3981
1985,CAN,32049.07,38.82,9.4787
1986,CAN,32412.66,38.49,9.3662
1987,CAN,33291.11,38.67,9.3956
1988,CAN,34311.55,39.04,9.4591
1989,CAN,34482.2,39.14,9.4135
1990,CAN,34022.23,39.09,9.2861
1991,CAN,32901.04,39.44,9.1776
1992,CAN,32806.54,40.24,9.2445
1993,CAN,33311.39,41.06,9.3706
1994,CAN,34429.39,41.87,9.5534
1995,CAN,34992.99,42.38,9.6319
1996,CAN,35189.81,42.29,9.595
1997,CAN,36333.08,42.96,9.7511
1998,CAN,37436.69,43.77,9.9071
1999,CAN,39050.8,44.9,10.153
2000,CAN,40691.98,46.33,10.448
2001,CAN,40972.82,47.07,10.5298
2002,CAN,41752.88,47.83,10.6456
2003,CAN,42123.66,47.94,10.6236
2004,CAN,43020.74,48.33,10.6848
2005,CAN,43981.85,49.4,10.8431
2006,CAN,44686.69,50.03,10.9033
2007,CAN,45171.7,50.05,10.8499
2008,CAN,45133.94,49.94,10.745
2009,CAN,43315.94,50.1,10.5615
2010,CAN,44160.63,50.65,10.6588
2011,CAN,45106.34,51.53,10.7902
2012,CAN,45404.95,51.52,10.7435
2013,CAN,45974.15,52.27,10.821
2014,CAN,46820.54,53.76,11.0266
2015,CAN,46778.74,53.65,10.9319
2016,CAN,46715.19,54.01,10.9329
2017,CAN,47561.34,54.86,11.0822
2018,CAN,48196.55,54.94,11.1111
2019,CAN,48406.41,55.18,11.1328
2020,CAN,45423.43,59.53,11.4834
2021,CAN,47439.42,56.46,11.1649
2022,CAN,48295.42,55.82,11.1164
1890,CHE,8949.35,5.96,2.6986
1891,CHE,8401.45,5.54,2.4724
1892,CHE,9020.31,5.93,2.6072
1893,CHE,9265.64,6.07,2.6436
1894,CHE,8943.05,5.85,2.516
1895,CHE,9810.53,6.4,2.7264
1896,CHE,9946.17,6.46,2.7205
1897,CHE,10337.19,6.69,2.7702
1898,CHE,10399.4,6.71,2.7234
1899,CHE,10786.63,6.94,2.7581
1900,CHE,10781.61,6.95,2.7085
1901,CHE,10533.11,6.81,2.6044
1902,CHE,10640.32,6.91,2.6015
1903,CHE,10301.08,6.72,2.5108
1904,CHE,10712.52,7.02,2.6115
1905,CHE,11006.63,7.14,2.6354
1906,CHE,11829.63,7.83,2.8512
1907,CHE,11792.91,7.84,2.8004
1908,CHE,11471.07,7.66,2.6803
1909,CHE,11924.94,8.0,2.7475
1910,CHE,12182.84,8.21,2.7857
1911,CHE,12313.52,8.32,2.7917
1912,CHE,12300.82,8.35,2.7726
1913,CHE,11998.87,8.19,2.6891
1914,CHE,11907.0,8.27,2.6656
1915,CHE,12067.16,8.43,2.6767
1916,CHE,12029.17,8.48,2.6345
1917,CHE,10699.8,7.63,2.2904
1918,CHE,10683.84,7.67,2.2513
1919,CHE,11419.06,8.26,2.3943
1920,CHE,12134.76,8.89,2.5379
1921,CHE,11836.67,8.76,2.4688
1922,CHE,12989.52,9.71,2.725
1923,CHE,13709.47,10.39,2.8883
1924,CHE,14173.28,10.9,3.0051
1925,CHE,15154.15,11.75,3.2145
1926,CHE,15824.01,12.3,3.3482
1927,CHE,16571.84,12.84,3.4855
1928,CHE,17357.3,13.42,3.6188
1929,CHE,17810.0,13.8,3.6988
1930,CHE,17568.05,13.71,3.6422
1931,CHE,16715.91,13.95,3.6179
1932,CHE,16061.12,14.27,3.6321
1933,CHE,16781.79,16.17,4.0341
1934,CHE,16742.43,15.25,3.8836
1935,CHE,16615.03,15.44,3.9208
1936,CHE,16618.83,15.44,3.9383
1937,CHE,17358.63,15.55,4.0208
1938,CHE,17972.55,16.35,4.2044
1939,CHE,17890.68,15.78,4.0972
1940,CHE,17992.51,15.49,4.0656
1941,CHE,17754.2,15.39,4.0521
1942,CHE,17178.13,14.95,3.9495
1943,CHE,16880.95,14.69,3.9052
1944,CHE,17126.07,15.02,4.0076
1945,CHE,21805.2,19.25,5.1682
1946,CHE,23010.56,20.37,5.4985
1947,CHE,25456.96,22.69,6.1395
1948,CHE,25640.65,23.03,6.2517
1949,CHE,24630.68,22.58,6.098
1950,CHE,25494.51,23.62,6.3729
1951,CHE,27239.71,24.73,6.7218
1952,CHE,27087.73,24.56,6.6732
1953,CHE,27678.96,25.34,6.8556
1954,CHE,28935.65,26.57,7.1626
1955,CHE,30566.49,27.9,7.5051
1956,CHE,32175.93,29.02,7.8023
1957,CHE,32925.2,29.61,7.9267
1958,CHE,31775.78,29.34,7.7453
1959,CHE,33388.48,31.3,8.1943
1960,CHE,35038.49,32.71,8.5441
1961,CHE,37132.88,33.73,8.8358
1962,CHE,37938.84,33.99,8.8839
1963,CHE,38956.92,35.06,9.0707
1964,CHE,40331.43,36.28,9.2886
1965,CHE,41134.91,37.64,9.4687
1966,CHE,41703.72,38.65,9.5854
1967,CHE,42451.0,39.57,9.7132
1968,CHE,43423.24,40.69,9.8976
1969,CHE,45356.69,42.22,10.213
1970,CHE,47902.03,44.2,10.6214
1971,CHE,49254.66,45.42,10.8183
1972,CHE,50369.87,46.79,10.9957
1973,CHE,51585.61,48.4,11.206
1974,CHE,52183.42,49.89,11.3457
1975,CHE,48809.48,48.8,10.8013
1976,CHE,48657.85,49.64,10.8115
1977,CHE,49975.29,51.35,11.1052
1978,CHE,50051.76,51.45,11.0854
1979,CHE,51151.23,52.53,11.2692
1980,CHE,53217.03,54.14,11.5942
1981,CHE,53699.68,54.33,11.5867
1982,CHE,52684.55,53.68,11.3586
1983,CHE,52900.68,54.47,11.4268
1984,CHE,54298.08,56.17,11.7027
1985,CHE,56050.05,57.29,11.9102
1986,CHE,56747.68,57.34,11.8964
1987,CHE,57246.16,56.89,11.792
1988,CHE,58656.95,57.28,11.8658
