year,country,gdp_per_capita,labor_productivity,pgf
1918,NOR,5650.17,5.36,2.1065
1919,NOR,6554.73,6.09,2.3954
1920,NOR,6900.12,6.47,2.5154
1921,NOR,6154.04,6.24,2.3484
1922,NOR,6746.5,7.11,2.6404
1923,NOR,6882.65,7.16,2.664
1924,NOR,6839.81,7.41,2.7123
1925,NOR,7212.73,7.83,2.8512
1926,NOR,7278.53,8.14,2.9208
1927,NOR,7521.11,8.46,3.0192
1928,NOR,7824.25,8.34,3.0103
1929,NOR,8533.36,8.95,3.2197
1930,NOR,9137.24,9.64,3.4313
1931,NOR,8372.31,9.45,3.2642
1932,NOR,8732.8,10.01,3.42
1933,NOR,8901.57,10.16,3.4662
1934,NOR,9164.73,10.33,3.525
1935,NOR,9571.85,10.42,3.5763
1936,NOR,10165.11,10.69,3.6816
1937,NOR,10562.91,10.99,3.7624
1938,NOR,10737.17,11.18,3.7817
1939,NOR,11186.64,11.27,3.8119
1940,NOR,10172.58,10.25,3.4318
1941,NOR,10359.96,10.33,3.4427
1942,NOR,9894.47,10.18,3.342
1943,NOR,9623.62,10.16,3.2961
1944,NOR,9037.58,9.83,3.1526
1945,NOR,10025.9,11.32,3.5828
1946,NOR,10921.47,11.78,3.7664
1947,NOR,12253.84,12.96,4.1488
1948,NOR,12958.27,13.62,4.3227
1949,NOR,13168.13,13.77,4.3359
1950,NOR,13677.78,13.93,4.3756
1951,NOR,14284.31,14.77,4.5706
1952,NOR,14646.17,15.37,4.705
1953,NOR,15077.62,16.06,4.8539
1954,NOR,15683.01,16.96,5.0407
1955,NOR,15874.16,17.43,5.0974
1956,NOR,16563.86,18.46,5.3119
1957,NOR,16907.28,19.1,5.4223
1958,NOR,16758.24,19.42,5.4158
1959,NOR,17317.88,20.34,5.5831
1960,NOR,18147.3,21.41,5.8106
1961,NOR,19132.14,22.66,6.1026
1962,NOR,19513.5,23.35,6.2188
1963,NOR,20107.15,24.35,6.4088
1964,NOR,20949.16,25.26,6.6009
1965,NOR,21890.84,27.08,6.9655
1966,NOR,22538.1,27.94,7.1189
1967,NOR,23746.67,29.62,7.466
1968,NOR,24076.7,30.8,7.6242
1969,NOR,24959.06,32.78,7.9788
1970,NOR,25270.73,33.17,8.0217
1971,NOR,26519.46,35.15,8.4004
1972,NOR,27720.05,37.27,8.7749
1973,NOR,28771.74,39.0,9.0683
1974,NOR,29720.38,40.46,9.2857
1975,NOR,31020.92,42.14,9.5531
1976,NOR,32673.09,44.47,9.9363
1977,NOR,33889.43,45.99,10.1278
1978,NOR,35061.99,48.0,10.3836
1979,NOR,36469.28,50.1,10.7025
1980,NOR,38012.65,51.13,10.8669
1981,NOR,38488.32,51.57,10.8617
1982,NOR,38438.27,52.03,10.8186
1983,NOR,39839.49,54.44,11.181
1984,NOR,42128.27,57.49,11.6858
1985,NOR,44328.61,59.27,11.9993
1986,NOR,45965.53,59.87,12.1086
1987,NOR,46548.08,60.75,12.1649
1988,NOR,46186.54,60.81,12.0391
1989,NOR,46467.37,63.36,12.3214
1990,NOR,47208.96,65.49,12.597
1991,NOR,48425.44,68.27,13.0208
1992,NOR,49875.5,70.41,13.3789
1993,NOR,50985.33,72.01,13.6413
1994,NOR,53254.1,74.7,14.1303
1995,NOR,55187.12,77.03,14.5343
1996,NOR,57670.84,79.53,14.9958
1997,NOR,60387.68,81.57,15.398
1998,NOR,61635.44,81.67,15.4015
1999,NOR,62475.47,82.67,15.4722
2000,NOR,64132.18,85.92,15.9199
2001,NOR,65124.35,89.11,16.3151
2002,NOR,65672.31,91.03,16.5173
2003,NOR,65900.76,93.98,16.8334
2004,NOR,68143.39,95.93,17.1754
2005,NOR,69503.88,96.99,17.3185
2006,NOR,70634.13,96.35,17.212
2007,NOR,71951.44,94.62,16.9738
2008,NOR,71403.56,91.82,16.4523
2009,NOR,69133.6,91.74,16.1683
2010,NOR,68822.6,92.21,16.1238
2011,NOR,68684.42,91.6,15.9919
2012,NOR,69623.49,92.4,16.0948
2013,NOR,69486.47,92.97,16.0749
2014,NOR,70122.83,93.71,16.1142
2015,NOR,70695.86,94.91,16.2088
2016,NOR,70890.95,95.54,16.223
2017,NOR,72073.16,97.52,16.4529
2018,NOR,72191.78,96.77,16.2803
2019,NOR,72511.62,96.39,16.169
2020,NOR,71172.24,97.27,16.0676
2021,NOR,73550.28,98.7,16.301
2022,NOR,75413.03,98.18,16.29
1890,NZL,6515.51,5.31,2.4506
1891,NZL,6594.84,5.35,2.4446
1892,NZL,6617.42,5.27,2.3933
1893,NZL,6772.89,5.3,2.3953
1894,NZL,6776.39,5.22,2.347
1895,NZL,6609.7,5.01,2.2458
1896,NZL,6914.11,5.16,2.3062
1897,NZL,7440.29,5.55,2.4692
1898,NZL,7480.29,5.59,2.4452
1899,NZL,7620.65,5.71,2.4736
1900,NZL,7863.47,5.92,2.5425
1901,NZL,8214.65,6.23,2.6476
1902,NZL,8226.39,6.17,2.6209
1903,NZL,8641.63,6.48,2.7395
1904,NZL,8952.62,6.74,2.8289
1905,NZL,8869.31,6.68,2.7971
1906,NZL,9514.83,7.11,2.9608
1907,NZL,9836.19,7.53,3.112
1908,NZL,9779.63,7.55,3.0989
1909,NZL,9051.0,7.01,2.8758
1910,NZL,9207.77,7.16,2.9288
1911,NZL,9954.77,7.81,3.1678
1912,NZL,10025.47,8.26,3.288
1913,NZL,9531.03,8.31,3.2514
1914,NZL,9420.1,8.67,3.3387
1915,NZL,9498.16,9.06,3.4359
1916,NZL,9488.6,9.31,3.4728
1917,NZL,9306.49,8.7,3.2772
1918,NZL,8987.03,8.06,3.069
1919,NZL,8943.24,7.79,2.9971
1920,NZL,9659.28,8.27,3.1816
1921,NZL,9989.25,8.39,3.2489
1922,NZL,9270.92,7.79,3.0174
1923,NZL,9118.34,7.63,2.9474
1924,NZL,9555.37,8.01,3.0792
1925,NZL,9651.82,8.12,3.1082
1926,NZL,9733.76,8.19,3.1247
1927,NZL,9097.73,7.73,2.9429
1928,NZL,8964.36,7.7,2.9224
1929,NZL,9588.72,8.32,3.134
1930,NZL,9563.73,8.37,3.1272
1931,NZL,8910.93,7.85,2.9271
1932,NZL,8175.59,7.23,2.6933
1933,NZL,8060.64,7.15,2.6606
1934,NZL,8906.64,7.91,2.9324
1935,NZL,8968.16,7.97,2.9435
1936,NZL,9715.29,8.97,3.2609
1937,NZL,11101.56,11.18,3.9255
1938,NZL,11390.49,11.61,4.0267
1939,NZL,12038.33,12.4,4.2577
1940,NZL,12539.62,13.04,4.4336
1941,NZL,12835.8,13.48,4.5361
1942,NZL,13322.62,14.16,4.7255
1943,NZL,14821.63,15.93,5.2557
1944,NZL,15854.63,17.24,5.6349
1945,NZL,15362.2,16.88,5.4738
1946,NZL,15527.03,16.9,5.4631
1947,NZL,15270.17,16.46,5.2946
1948,NZL,15420.34,16.36,5.2649
1949,NZL,14335.39,15.0,4.8664
1950,NZL,14465.73,15.19,4.9481
1951,NZL,16386.49,17.56,5.647
1952,NZL,15116.64,16.19,5.1812
1953,NZL,14712.15,16.12,5.1004
1954,NZL,14826.22,16.39,5.1419
1955,NZL,15508.44,17.39,5.3974
1956,NZL,15773.2,17.88,5.4812
1957,NZL,15708.4,18.04,5.4651
1958,NZL,16147.1,18.74,5.6216
1959,NZL,16244.68,19.13,5.6757
1960,NZL,16594.41,19.78,5.8063
1961,NZL,17265.19,20.54,5.9804
1962,NZL,17394.66,20.96,6.035
1963,NZL,17574.86,21.21,6.0572
1964,NZL,18259.56,21.93,6.2346
1965,NZL,19058.54,22.55,6.3935
1966,NZL,19860.84,23.14,6.5424
1967,NZL,20249.32,23.49,6.586
1968,NZL,19899.39,23.76,6.5357
1969,NZL,20142.33,23.8,6.5191
1970,NZL,20874.16,24.36,6.662
1971,NZL,21331.51,25.02,6.7992
1972,NZL,22046.3,26.22,7.0615
1973,NZL,23302.01,27.37,7.3529
1974,NZL,24201.7,27.66,7.4212
1975,NZL,23358.88,26.94,7.1226
1976,NZL,23356.42,26.78,7.0098
1977,NZL,22350.96,25.27,6.5741
1978,NZL,22414.89,25.61,6.592
1979,NZL,22840.48,25.95,6.6665
1980,NZL,23089.67,26.46,6.766
1981,NZL,24064.91,27.77,7.077
1982,NZL,24090.34,27.68,7.0542
1983,NZL,24599.3,28.1,7.174
1984,NZL,25525.15,28.77,7.3624
1985,NZL,25826.32,28.34,7.2799
1986,NZL,24810.14,27.51,7.0097
1987,NZL,25046.67,27.82,7.0611
1988,NZL,25510.07,29.46,7.35
1989,NZL,25489.04,30.8,7.551
1990,NZL,25392.96,31.9,7.7085
1991,NZL,24043.22,31.35,7.539
1992,NZL,24108.05,32.54,7.7493
1993,NZL,25358.09,33.3,8.0045
1994,NZL,26332.33,33.41,8.1138
1995,NZL,27049.09,33.68,8.2112
1996,NZL,27539.53,33.79,8.2508
1997,NZL,28059.83,34.94,8.4591
1998,NZL,28138.39,34.39,8.3231
1999,NZL,29459.66,34.79,8.4685
2000,NZL,29972.36,35.86,8.6398
2001,NZL,30881.63,36.54,8.7975
2002,NZL,31858.56,37.24,8.981
2003,NZL,32690.39,37.94,9.1436
2004,NZL,33276.52,37.78,9.1085
2005,NZL,33953.3,37.69,9.0789
2006,NZL,34359.9,38.17,9.1212
2007,NZL,35343.07,39.67,9.3839
2008,NZL,34490.36,38.4,9.0323
2009,NZL,34797.7,40.43,9.3424
2010,NZL,34760.92,40.09,9.259
2011,NZL,35428.29,40.85,9.3983
2012,NZL,36139.21,42.38,9.6544
2013,NZL,36512.21,41.49,9.5031
2014,NZL,37182.97,41.46,9.5223
2015,NZL,37962.12,42.42,9.7086
2016,NZL,38564.05,42.03,9.668
2017,NZL,39453.96,42.1,9.7167
2018,NZL,40292.04,42.96,9.874
2019,NZL,40562.89,42.69,9.8077
2020,NZL,39895.75,43.45,9.8334
2021,NZL,41445.16,44.51,10.0485
2022,NZL,41784.11,44.27,9.9735
1890,PRT,2277.12,1.93,1.3237
1891,PRT,2219.71,1.9,1.2986
1892,PRT,2194.56,1.89,1.2876
1893,PRT,2222.75,1.94,1.3103
1894,PRT,2178.41,1.92,1.2915
1895,PRT,2255.86,2.01,1.3472
1896,PRT,2271.11,2.05,1.3647
1897,PRT,2385.7,2.18,1.445
1898,PRT,2451.75,2.26,1.4854
1899,PRT,2521.22,2.35,1.5337
1900,PRT,2629.02,2.48,1.6044
1901,PRT,2562.68,2.43,1.5634
1902,PRT,2555.46,2.43,1.5585
1903,PRT,2570.22,2.45,1.5647
1904,PRT,2582.1,2.38,1.526
1905,PRT,2489.2,2.4,1.5123
1906,PRT,2484.43,2.42,1.5101
1907,PRT,2522.35,2.48,1.5317
1908,PRT,2461.54,2.44,1.4944
1909,PRT,2439.06,2.44,1.4855
1910,PRT,2479.06,2.49,1.5095
1911,PRT,2506.74,2.56,1.5298
1912,PRT,2536.87,2.61,1.5478
1913,PRT,2524.34,2.61,1.5361
1914,PRT,2538.86,2.63,1.5355
1915,PRT,2478.83,2.58,1.4943
1916,PRT,2490.67,2.61,1.4992
1917,PRT,2447.94,2.58,1.4738
1918,PRT,2321.12,2.53,1.4257
1919,PRT,2368.67,2.62,1.4654
1920,PRT,2481.73,2.78,1.5328
1921,PRT,2604.23,2.93,1.6086
1922,PRT,2886.82,3.29,1.7951
1923,PRT,2974.71,3.43,1.8609
1924,PRT,2829.07,3.3,1.776
1925,PRT,2919.51,3.44,1.8389
1926,PRT,2865.03,3.41,1.8108
1927,PRT,3326.39,4.01,2.1182
1928,PRT,2968.46,3.62,1.9005
1929,PRT,3250.6,4.02,2.0892
1930,PRT,3171.25,3.96,2.0396
1931,PRT,3293.08,4.12,2.1157
1932,PRT,3316.12,4.16,2.1331
1933,PRT,3497.0,4.44,2.2683
1934,PRT,3601.62,4.6,2.3398
1935,PRT,3368.9,4.35,2.1977
1936,PRT,3074.42,3.97,1.996
1937,PRT,3547.88,4.6,2.2949
1938,PRT,3527.74,4.58,2.2706
1939,PRT,3531.07,4.59,2.2611
1940,PRT,3260.81,4.26,2.0821
1941,PRT,3526.95,4.6,2.2386
1942,PRT,3448.91,4.48,2.1744
1943,PRT,3646.92,4.71,2.2742
1944,PRT,3821.2,4.93,2.3682
1945,PRT,3641.27,4.66,2.2348
1946,PRT,3892.24,4.95,2.3643
1947,PRT,4180.23,5.29,2.5023
1948,PRT,4131.28,5.2,2.436
1949,PRT,4152.04,5.2,2.4266
1950,PRT,4212.32,5.26,2.4399
1951,PRT,4376.37,5.49,2.5131
1952,PRT,4363.68,5.48,2.485
1953,PRT,4639.41,5.85,2.6217
1954,PRT,4832.1,6.12,2.7045
1955,PRT,4996.36,6.36,2.7752
1956,PRT,5176.69,6.62,2.8522
1957,PRT,5368.09,7.11,2.9895
1958,PRT,5395.23,7.0,2.9205
1959,PRT,5641.0,7.37,3.0243
1960,PRT,5967.64,7.85,3.1651
1961,PRT,6243.14,8.35,3.3036
1962,PRT,6609.7,8.98,3.4733
1963,PRT,6973.81,9.59,3.6286
1964,PRT,7429.46,10.31,3.8316
1965,PRT,8015.11,11.17,4.0782
1966,PRT,8404.38,11.76,4.2067
1967,PRT,9096.29,12.8,4.4687
1968,PRT,9947.98,14.11,4.8073
1969,PRT,10250.74,14.58,4.8576
1970,PRT,11284.45,15.4,5.0774
1971,PRT,12138.6,16.24,5.2694
1972,PRT,13131.33,17.74,5.6073
1973,PRT,14597.05,20.0,6.1355
1974,PRT,14559.83,19.02,5.7841
1975,PRT,13407.67,17.48,5.2607
1976,PRT,13931.46,18.54,5.5144
1977,PRT,14556.4,19.58,5.7629
1978,PRT,14805.03,20.3,5.8832
1979,PRT,15473.17,21.31,6.1263
1980,PRT,16009.3,21.93,6.248
1981,PRT,16129.62,22.31,6.284
1982,PRT,16372.68,22.93,6.3574
1983,PRT,16273.77,22.01,6.095
1984,PRT,15913.37,21.78,5.9495
1985,PRT,16324.19,22.62,6.1154
1986,PRT,17000.17,23.66,6.3482
1987,PRT,18115.84,24.33,6.5529
1988,PRT,19523.25,25.49,6.8584
1989,PRT,20845.5,26.26,7.0558
1990,PRT,21752.3,26.88,7.1769
1991,PRT,22766.88,28.28,7.456
1992,PRT,23024.18,29.3,7.5919
1993,PRT,22528.63,29.26,7.4606
1994,PRT,22691.39,29.45,7.4601
1995,PRT,23596.19,29.86,7.5757
1996,PRT,24331.57,30.38,7.6902
1997,PRT,25289.04,30.99,7.836
1998,PRT,26371.36,31.34,7.9283
1999,PRT,27247.11,32.04,8.0484
2000,PRT,28088.7,32.38,8.1003
2001,PRT,28433.49,32.73,8.1077
2002,PRT,28496.23,32.97,8.0753
2003,PRT,28125.25,33.11,7.9956
2004,PRT,28559.8,33.83,8.0968
2005,PRT,28729.93,34.21,8.1199
2006,PRT,29144.08,34.85,8.2073
2007,PRT,29815.94,35.39,8.3049
2008,PRT,29868.07,35.62,8.295
2009,PRT,28908.18,35.47,8.1401
2010,PRT,29396.87,36.55,8.318
2011,PRT,28940.68,37.09,8.3266
2012,PRT,27879.49,37.46,8.2637
2013,PRT,27774.15,38.0,8.3267
2014,PRT,28145.43,37.61,8.2939
2015,PRT,28768.74,37.61,8.3415
2016,PRT,29442.39,37.63,8.3947
2017,PRT,30549.3,37.94,8.5274
2018,PRT,31470.16,37.9,8.5801
2019,PRT,32306.57,38.47,8.7202
2020,PRT,29593.89,38.91,8.5394
2021,PRT,31249.99,39.3,8.7189
2022,PRT,33423.74,41.42,9.1934
1890,SWE,3085.85,2.69,1.4349
1891,SWE,3024.23,2.62,1.3944
1892,SWE,3180.9,2.83,1.4895
1893,SWE,3313.2,2.98,1.5603
1894,SWE,3339.02,2.97,1.5627
1895,SWE,3454.12,3.06,1.6071
1896,SWE,3554.15,3.12,1.6359
1897,SWE,3700.85,3.3,1.7177
1898,SWE,3802.96,3.39,1.7518
1899,SWE,3971.65,3.52,1.8103
1900,SWE,3937.98,3.54,1.8012
1901,SWE,3990.61,3.6,1.8124
1902,SWE,3959.34,3.61,1.7985
1903,SWE,4158.94,3.78,1.8735
1904,SWE,4295.99,3.89,1.9104
1905,SWE,4274.34,3.91,1.8969
1906,SWE,4603.67,4.17,2.0128
1907,SWE,4883.74,4.41,2.1109
1908,SWE,4773.97,4.38,2.0703
1909,SWE,4743.24,4.41,2.0685
1910,SWE,4968.56,4.6,2.1516
1911,SWE,5070.46,4.68,2.1812
1912,SWE,5266.27,4.86,2.2516
1913,SWE,5567.87,5.04,2.3314
1914,SWE,5497.95,5.21,2.3544
1915,SWE,5621.44,5.01,2.2891
1916,SWE,5938.64,5.05,2.33
1917,SWE,5183.62,4.64,2.1017
1918,SWE,5045.18,4.9,2.1565
1919,SWE,5098.07,5.13,2.223
1920,SWE,5299.89,6.28,2.5804
1921,SWE,4730.21,6.67,2.5961
1922,SWE,5245.73,6.7,2.6814
1923,SWE,5394.74,6.55,2.6535
1924,SWE,5667.54,6.66,2.7132
1925,SWE,5654.73,6.7,2.7116
1926,SWE,6034.99,6.88,2.8013
1927,SWE,6210.23,6.95,2.8343
1928,SWE,6333.19,7.32,2.9423
1929,SWE,6796.63,7.32,2.9897
1930,SWE,7046.38,7.49,3.0531
1931,SWE,6962.28,7.55,3.0335
1932,SWE,6643.9,7.37,2.9254
1933,SWE,6861.47,7.68,3.0259
1934,SWE,7276.51,7.76,3.0927
1935,SWE,7724.05,8.08,3.2232
1936,SWE,8169.21,8.41,3.3452
1937,SWE,8351.95,8.5,3.3586
1938,SWE,8655.38,8.72,3.4283
1939,SWE,9423.09,8.89,3.5295
1940,SWE,8554.59,8.85,3.3812
1941,SWE,8526.63,9.12,3.4382
1942,SWE,8578.12,9.18,3.4515
1943,SWE,8971.91,9.62,3.598
1944,SWE,9152.43,9.88,3.6704
1945,SWE,9237.82,9.95,3.6816
1946,SWE,10118.56,10.92,4.0122
1947,SWE,10673.86,11.54,4.2009
1948,SWE,10711.33,11.64,4.1828
1949,SWE,10843.78,11.9,4.2323
1950,SWE,11510.49,12.74,4.4834
1951,SWE,11739.77,13.17,4.5793
1952,SWE,11840.54,13.4,4.6105
1953,SWE,12171.8,14.01,4.7544
1954,SWE,12792.98,14.75,4.9464
1955,SWE,13089.35,15.29,5.0453
1956,SWE,13427.7,16.02,5.191
1957,SWE,13655.64,16.16,5.1911
1958,SWE,13899.97,16.57,5.2528
1959,SWE,14572.66,17.43,5.4505
1960,SWE,15036.5,17.83,5.513
1961,SWE,15816.09,18.67,5.6988
1962,SWE,16399.01,19.48,5.8593
1963,SWE,17175.65,20.49,6.0732
1964,SWE,18210.67,22.23,6.4579
1965,SWE,18729.36,22.98,6.5716
1966,SWE,18939.87,23.42,6.5883
1967,SWE,19427.65,24.88,6.8228
1968,SWE,20021.68,26.13,7.0154
1969,SWE,20877.35,27.47,7.2513
1970,SWE,22022.35,28.98,7.5362
1971,SWE,22079.39,29.87,7.6028
1972,SWE,22518.0,31.18,7.7819
1973,SWE,23368.35,32.61,8.0146
1974,SWE,24044.79,33.39,8.1171
1975,SWE,24565.31,34.08,8.2023
1976,SWE,24734.65,34.07,8.1339
1977,SWE,24254.28,34.16,8.0231
1978,SWE,24607.52,35.46,8.2009
1979,SWE,25493.92,36.61,8.4193
1980,SWE,25877.39,36.79,8.4258
1981,SWE,25963.84,37.12,8.4103
1982,SWE,26272.25,37.31,8.3884
1983,SWE,26758.74,37.68,8.4162
1984,SWE,27863.74,38.88,8.63
1985,SWE,28421.38,39.21,8.6522
1986,SWE,29116.56,40.07,8.7654
1987,SWE,29992.78,40.82,8.8849
1988,SWE,30621.74,40.78,8.8623
1989,SWE,31223.72,41.31,8.9293
1990,SWE,31216.77,41.32,8.859
1991,SWE,30651.32,41.84,8.8241
1992,SWE,30117.94,42.79,8.8724
1993,SWE,29324.29,43.72,8.9083
1994,SWE,30261.19,44.81,9.1581
1995,SWE,31287.41,45.63,9.3694
1996,SWE,31730.89,46.38,9.5013
1997,SWE,32686.34,48.28,9.8385
1998,SWE,34076.85,49.56,10.125
1999,SWE,35496.48,50.32,10.3306
2000,SWE,37128.85,52.14,10.7008
2001,SWE,37565.83,52.55,10.7597
2002,SWE,38266.38,54.46,11.0541
2003,SWE,39005.17,56.52,11.3777
2004,SWE,40537.03,58.51,11.7585
2005,SWE,41529.2,60.17,12.0365
2006,SWE,43221.95,61.9,12.3833
2007,SWE,44378.14,62.08,12.4549
2008,SWE,43835.36,60.99,12.1932
2009,SWE,41577.29,60.13,11.8322
2010,SWE,43678.05,62.23,12.2872
2011,SWE,44734.62,62.74,12.4176
2012,SWE,44143.67,62.44,12.2896
2013,SWE,44291.11,62.94,12.3455
2014,SWE,45019.36,63.66,12.488
2015,SWE,46545.6,65.48,12.8405
2016,SWE,46916.17,65.07,12.787
2017,SWE,47476.89,65.65,12.883
2018,SWE,47843.68,65.89,12.9009
2019,SWE,48301.81,67.4,13.0955
2020,SWE,46913.29,68.12,13.0258
2021,SWE,49498.88,70.48,13.5002
2022,SWE,50555.61,70.82,13.564
1890,USA,4730.2,4.66,1.718
1891,USA,4781.3,4.7,1.7183
1892,USA,4894.97,4.63,1.6983
1893,USA,4777.41,5.02,1.7742
1894,USA,4535.99,5.13,1.7623
1895,USA,4990.68,5.35,1.8603
1896,USA,4798.0,5.15,1.7838
1897,USA,5105.41,5.47,1.8834
1898,USA,5144.75,5.43,1.8664
1899,USA,5659.23,5.57,1.9441
1900,USA,5671.67,5.5,1.9156
1901,USA,6255.15,5.67,2.0028
1902,USA,6234.93,5.75,2.0064
1903,USA,6298.25,5.6,1.9557
1904,USA,6416.86,5.73,1.9775
1905,USA,6876.65,6.09,2.0921
1906,USA,7025.4,5.92,2.0538
1907,USA,6788.4,5.95,2.0256
1908,USA,6284.31,5.81,1.9339
1909,USA,6890.96,6.18,2.0649
1910,USA,6775.63,6.19,2.0467
1911,USA,6884.25,6.31,2.0657
1912,USA,7174.4,6.47,2.1148
1913,USA,7314.76,6.66,2.1585
1914,USA,6618.46,6.38,2.0219
1915,USA,6767.7,6.65,2.09
1916,USA,7770.41,7.52,2.3693
1917,USA,7658.07,7.6,2.372
1918,USA,8163.03,8.61,2.634
1919,USA,7886.93,9.5,2.7861
1920,USA,7614.01,8.91,2.6334
1921,USA,7196.99,10.02,2.803
1922,USA,7613.88,8.71,2.5795
1923,USA,8547.79,9.33,2.7946
1924,USA,8609.19,10.75,3.0815
1925,USA,8674.4,9.92,2.9044
1926,USA,9078.2,10.7,3.0877
1927,USA,9001.74,10.73,3.0668
1928,USA,9056.66,10.7,3.0464
1929,USA,9544.89,10.81,3.0966
1930,USA,8632.04,10.79,2.9804
1931,USA,8017.16,11.24,2.9809
1932,USA,6937.85,11.62,2.9133
1933,USA,6811.9,11.25,2.8344
1934,USA,7500.19,12.46,3.1427
1935,USA,8111.96,12.5,3.2299
1936,USA,9097.94,12.78,3.3998
1937,USA,9507.37,13.38,3.5483
1938,USA,9120.3,15.4,3.8579
1939,USA,9773.07,14.78,3.8232
1940,USA,10546.19,15.12,3.9681
1941,USA,12295.64,15.81,4.2825
1942,USA,14460.09,16.83,4.6858
1943,USA,16688.58,16.71,4.8636
1944,USA,17800.41,19.14,5.4741
1945,USA,17433.46,19.78,5.5882
1946,USA,15250.49,17.77,4.9931
1947,USA,14790.14,17.72,4.9431
1948,USA,15135.67,18.66,5.162
1949,USA,14792.11,18.88,5.1585
1950,USA,15812.77,20.54,5.5731
1951,USA,16796.42,21.21,5.7877
1952,USA,17185.57,21.8,5.9213
1953,USA,17697.57,22.45,6.0755
1954,USA,17288.24,22.84,6.0805
1955,USA,18199.09,23.55,6.2805
1956,USA,18261.57,23.45,6.2384
1957,USA,18313.55,24.2,6.349
1958,USA,17878.56,24.74,6.3681
1959,USA,18796.26,25.65,6.605
1960,USA,18892.87,25.94,6.6434
1961,USA,19062.75,26.76,6.7771
1962,USA,19922.06,27.72,7.0024
1963,USA,20492.07,28.31,7.1251
1964,USA,21375.85,29.23,7.3345
1965,USA,22481.28,30.21,7.566
1966,USA,23690.01,31.56,7.8551
1967,USA,24075.49,32.16,7.9221
1968,USA,25008.69,33.24,8.1286
1969,USA,25536.47,33.44,8.1429
1970,USA,25290.65,33.71,8.1038
1971,USA,25796.15,34.97,8.3162
1972,USA,26864.05,35.82,8.5011
1973,USA,28110.89,36.67,8.6898
1974,USA,27702.87,36.34,8.5303
1975,USA,27379.33,37.34,8.6143
1976,USA,28576.06,38.24,8.84
1977,USA,29598.47,38.65,8.9596
1978,USA,30908.51,38.96,9.078
1979,USA,31536.24,39.13,9.1028
1980,USA,31093.38,39.14,9.0073
1981,USA,31566.12,40.05,9.1455
1982,USA,30702.03,39.92,9.004
1983,USA,31819.57,41.01,9.2412
1984,USA,33824.74,41.87,9.508
1985,USA,34923.11,42.64,9.6641
1986,USA,35805.55,43.6,9.8259
1987,USA,36714.66,43.92,9.8882
1988,USA,37902.08,44.42,10.0054
1989,USA,38924.63,44.82,10.0938
1990,USA,39215.83,45.58,10.1916
1991,USA,38655.91,46.18,10.2072
1992,USA,39489.22,47.77,10.4985
1993,USA,40052.08,47.95,10.5485
1994,USA,41163.88,48.36,10.6704
1995,USA,41772.06,48.46,10.7005
1996,USA,42845.53,49.67,10.9332
1997,USA,44219.1,50.39,11.1044
1998,USA,45666.03,51.52,11.3336
1999,USA,47311.71,53.04,11.6216
2000,USA,48705.38,54.5,11.8657
2001,USA,48682.85,55.69,11.9547
2002,USA,49039.11,57.23,12.1305
2003,USA,49947.05,58.97,12.384
2004,USA,51405.04,60.51,12.6449
2005,USA,52704.77,61.77,12.8449
2006,USA,53659.31,62.36,12.9135
2007,USA,54215.97,63.23,12.9975
2008,USA,53774.76,64.04,13.0096
2009,USA,51916.91,66.09,13.1052
2010,USA,52875.98,67.84,13.4013
2011,USA,53273.22,67.86,13.4134
2012,USA,54067.51,68.12,13.4814
2013,USA,54651.13,68.41,13.5271
2014,USA,55463.79,68.67,13.5842
2015,USA,56520.61,69.05,13.6696
2016,USA,57021.23,69.26,13.6874
2017,USA,57898.1,69.88,13.7868
2018,USA,59252.83,70.66,13.9349
2019,USA,60297.1,71.52,14.0608
2020,USA,58407.66,73.96,14.1858
2021,USA,61796.08,74.84,14.4756
2022,USA,62881.15,73.99,14.3621
